string,string_id,image_mean,image_median,image_latent_mean,subfreq_mean,subfreq_median,subfreq_latent_mean
točka,1302,0.859413381587149,0.9435733873852392,-0.058891189129228305,1.02888307583703,1.1963455347561704,0.400347649797673
nevolja,1303,0.02608004825381549,-0.056426612614760785,0.20502133587077154,0.16221640917036328,-0.30365446524382955,0.2482644261518394
gubitak,1304,-0.30725328507951755,-0.056426612614760785,0.09635949691243839,0.52888307583703,0.6963455347561704,0.2803421164643396
piće,1305,0.9927467149204818,0.9435733873852392,-0.0817330324625618,1.4530210068715133,1.6963455347561704,0.05429149427683955
kora,1306,0.7260800482538152,0.9435733873852392,0.016342332537437887,0.2461244551473749,0.6963455347561704,0.06609044323517299
žena,1307,0.9594133815871486,0.9435733873852392,-0.11501357985839489,1.2955497425036966,1.6963455347561704,0.05159466969350612
obračunavanje,1308,-0.5102835881098207,-1.0564266126147608,0.07780890347493852,-0.37111692416296993,-0.30365446524382955,-0.19435922082732704
riznica,1309,0.29274671492048254,0.4435733873852392,0.19824314743327154,-0.7377835908296366,-0.8036544652438296,-0.2759618997856603
gredica,1310,0.192746714920482,0.4435733873852392,0.03229907503743856,-0.4090479586457283,-0.30365446524382955,-0.19770755343149382
oslobođenje,1311,-0.4405866184128513,-0.5564266126147608,0.10426307253743827,-0.6044502574963033,-1.3036544652438296,-0.14940961801482722
tablica,1312,0.7927467149204825,0.9435733873852392,0.09108655774577157,0.8288830758370298,0.6963455347561704,0.38220214052683943
zvijer,1313,0.6422090805118805,0.9435733873852392,0.04459324743327153,0.36221640917036346,0.6963455347561704,0.2213403522976729
razonoda,1314,-0.5072532850795177,-1.0564266126147608,0.08086260409993828,-0.30445025749630306,-0.30365446524382955,-0.060030820514827
usustavljivanje,1315,-1.4739199517461845,-2.056426612614761,-0.5070074432958949,-1.0044502574963032,-1.3036544652438296,-0.48128622988982706
teret,1316,-0.007253285079517724,-0.056426612614760785,0.3645199079541048,0.5860259329798874,0.6963455347561704,0.392195262297673
pričuva,1317,-0.9072532850795176,-1.0564266126147608,-0.17794954871256152,-0.5711169241629697,-0.30365446524382955,-0.21512197718149384
doba,1318,-0.26785934568557845,-0.056426612614760785,0.040024821183271886,0.46221640917036355,0.6963455347561704,0.09010546740183933
vijek,1319,-0.3739199517461844,-0.5564266126147608,0.10706457128743851,-0.3745652000250388,-0.30365446524382955,-0.16046689395232727
proces,1320,-0.5405866184128509,-0.5564266126147608,0.028380843579105086,0.42888307583703034,0.6963455347561704,0.3553410993810062
ognjište,1321,0.4594133815871486,0.9435733873852392,0.1166546150374379,-1.1044502574963033,-1.3036544652438296,-0.534156892077327
odgoj,1322,-0.5072532850795177,-0.5564266126147608,0.08707754107910493,0.7622164091703634,0.6963455347561704,0.4231563088601731
tehnologija,1323,0.49274671492048183,0.4435733873852392,0.40987187107910517,1.1622164091703637,1.6963455347561704,0.098718710422673
opera,1324,0.7260800482538152,0.9435733873852392,0.1266249799332715,-0.5377835908296364,-0.30365446524382955,-0.16540340936899378
magla,1325,0.6594133815871488,0.9435733873852392,-0.08544940506672827,0.2622164091703634,-0.30365446524382955,0.25060814094350636
tjeskoba,1326,-0.4405866184128513,-1.0564266126147608,0.05129634764160551,-0.03778359082963645,-0.30365446524382955,0.08680907896433965
sud,1327,0.8927467149204822,0.9435733873852392,-0.009165272045895012,0.12888307583703007,-0.30365446524382955,0.19391035011017266
crtež,1328,0.9260800482538154,0.9435733873852392,-0.005077884545894751,0.7622164091703634,0.6963455347561704,0.553590595110173
veletrgovina,1329,-0.0739199517461846,-0.056426612614760785,0.08792130587077152,-1.3044502574963033,-1.3036544652438296,-0.6404723146814937
piramida,1330,1.026080048253816,0.9435733873852392,-0.07915267444172835,-0.07111692416296966,-0.30365446524382955,0.0204503352143397
snijeg,1331,0.9594133815871486,0.9435733873852392,-0.1151842143375621,-0.07111692416296966,-0.30365446524382955,0.07197952531850627
legija,1332,-0.17391995174618424,-0.056426612614760785,0.2056693339957718,-0.97111692416297,-1.3036544652438296,-0.48046674322316063
hotel,1333,0.5260800482538159,0.9435733873852392,0.026490802954104886,0.31508997238875436,0.6963455347561704,0.2039500082351724
agrum,1334,0.49274671492048183,0.9435733873852392,0.019590328162438553,-0.5377835908296364,-0.30365446524382955,-0.20018141259816025
aparat,1335,0.6594133815871488,0.9435733873852392,0.28598824347493856,0.7622164091703634,0.6963455347561704,0.42020168833933935
nepovjerenje,1336,-0.8405866184128512,-1.0564266126147608,-0.1330089615250616,0.10819342066461646,-0.30365446524382955,0.14251721625600622
osmoza,1337,-0.8405866184128512,-1.0564266126147608,-0.1600330462125621,-1.204450257496303,-1.3036544652438296,-0.5887997894731605
prijatelj,1338,0.7594133815871493,0.9435733873852392,0.08254412764160524,1.4955497425036968,1.6963455347561704,0.06229895917267303
kapacitet,1339,-1.1072532850795178,-1.0564266126147608,-0.190493659233395,0.19554974250369694,-0.30365446524382955,0.28111072969350603
staklenik,1340,0.6594133815871488,0.9435733873852392,0.10389191097493855,-0.7377835908296366,-0.8036544652438296,-0.319151784993994
antibiotik,1341,0.7122869448055398,0.9435733873852392,0.07911404639160491,0.07371066204392651,-0.30365446524382955,0.10817138948517302
odgovornost,1342,-0.7739199517461843,-1.0564266126147608,-0.1461432096500621,0.8955497425036971,0.6963455347561704,0.5442586315685061
norma,1343,-1.1739199517461842,-1.5564266126147608,-0.34344565569172847,-0.27111692416296984,-0.30365446524382955,-0.11090958811899387
kazivanje,1344,-0.9739199517461845,-1.0564266126147608,-0.11198891777506148,-0.878259781305827,-1.3036544652438296,-0.36473618197316027
obrt,1345,-0.007253285079517724,-0.056426612614760785,0.2644046210791049,0.52888307583703,0.6963455347561704,0.2735403284435063
dvor,1346,0.692746714920482,0.9435733873852392,0.013895439933271803,-0.6377835908296365,-1.3036544652438296,-0.2791110646814938
perspektiva,1347,-1.0072532850795177,-1.5564266126147608,-0.25889167590006146,0.5622164091703636,0.6963455347561704,0.4311397096935061
mogućnost,1348,-1.0739199517461846,-1.0564266126147608,-0.2234956147542282,0.5564692827335818,0.6963455347561704,0.14823340729767276
šumar,1349,0.5927467149204824,0.9435733873852392,0.3264918305582718,-0.27111692416296984,-0.30365446524382955,-0.03788986968149377
izobilje,1350,-0.39116133105652917,-0.056426612614760785,-0.054758514754228216,-0.1676686483009009,-0.30365446524382955,0.08743431594350604
glazbenik,1351,0.8260800482538158,0.9435733873852392,-0.06033539162922841,1.0392279034232375,0.6963455347561704,0.3890352941726727
zlovolja,1352,-0.8739199517461844,-1.0564266126147608,-0.11427131121256151,-0.8711169241629699,-1.3036544652438296,-0.3587756764523271
kanal,1353,0.359413381587149,0.9435733873852392,0.09935321784993789,0.12888307583703007,-0.30365446524382955,0.210323358131006
bodež,1354,0.5927467149204824,0.9435733873852392,0.03587884701660515,-0.9044502574963031,-1.3036544652438296,-0.41578559603566045
djelokrug,1355,-1.2877130551944602,-2.056426612614761,-0.3418641264208948,-1.4711169241629698,-1.8036544652438296,-0.7515610897856604
prijestup,1356,-0.6011926790189115,-1.0564266126147608,0.04202280566243832,-0.3377835908296367,-0.30365446524382955,-0.07255470207732762
iscjedak,1357,0.49274671492048183,0.9435733873852392,0.26558466847493856,-0.7193927862319351,-0.30365446524382955,-0.3160888506189936
zapovijed,1358,-0.5980578827806671,-1.0564266126147608,-0.005442669962561819,0.49554974250369677,0.6963455347561704,0.3249446742768396
polis,1359,-0.04058661841285094,-0.056426612614760785,0.02705443680827191,-1.0987031310595214,-1.3036544652438296,-0.520570926556494
gorivo,1360,0.6260800482538156,0.9435733873852392,0.2533778047249382,0.42888307583703034,0.6963455347561704,0.2958690788601728
plovidba,1361,0.8260800482538158,0.9435733873852392,0.14560922066243842,-0.9044502574963031,-1.3036544652438296,-0.4066080190564936
pobuna,1362,0.22608004825381522,0.9435733873852392,0.0714026467041049,0.2622164091703634,0.6963455347561704,0.19545455094350617
poticaj,1363,-0.7072532850795179,-1.0564266126147608,-0.09249241423339516,-0.03778359082963645,0.19634553475617045,-0.03799907426482729
umjetnost,1364,0.22608004825381522,-0.056426612614760785,0.23864732399577182,1.0955497425036964,1.6963455347561704,0.3578595161518394
jablan,1365,0.9191834965296777,0.9435733873852392,-0.040824759441728364,-0.5711169241629697,-0.30365446524382955,-0.2683484959314937
pantomima,1366,0.5927467149204824,0.9435733873852392,0.14256619670410497,-0.43778359082963636,-0.30365446524382955,-0.1303515299939937
